Event Time (UTC),Analytics Event Type,Latitude,Longitude,GPS Time (UTC),Device OS,Device OS Version,Device Model,Device Language,City Name,Country / Region,App Version
2019-12-29 18:12:40.543,impression,29.633333333333333,-95.4,2019-12-29 18:12:39.999,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10009
2019-12-29 18:12:38.390,impression,29.633333333333333,-95.4,2019-12-29 18:12:37.999,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10009
2019-12-29 18:12:40.405,custom,29.633333333333333,-95.4,2019-12-29 18:12:39.999,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10009
2019-12-29 18:12:38.603,impression,29.633333333333333,-95.4,2019-12-29 18:12:37.999,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10009
2019-12-29 18:11:38.713,impression,29.627521941465908,-95.40608857767228,2019-12-29 18:11:38.000,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-29 18:11:37.944,impression,29.627521941465908,-95.40608857767228,2019-12-29 18:11:37.000,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-29 18:11:37.930,impression,29.627521941465908,-95.40608857767228,2019-12-29 18:11:37.000,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-29 18:11:40.546,impression,29.627521941465908,-95.40608857767228,2019-12-29 18:11:40.000,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-29 18:11:39.995,impression,29.627521941465908,-95.40608857767228,2019-12-29 18:11:39.000,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-29 18:11:41.818,tap,29.627521941465908,-95.40608857767228,2019-12-29 18:11:41.000,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-29 18:11:41.430,impression,29.627521941465908,-95.40608857767228,2019-12-29 18:11:41.000,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-29 18:12:16.697,impression,29.633333333333333,-95.4,2019-12-29 18:12:16.000,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10009
2019-12-29 18:12:16.374,custom,29.633333333333333,-95.4,2019-12-29 18:12:16.000,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10009
2019-12-29 18:12:16.460,impression,29.633333333333333,-95.4,2019-12-29 18:12:16.000,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10009
2019-12-29 18:12:16.375,impression,29.633333333333333,-95.4,2019-12-29 18:12:16.000,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10009
2019-12-29 18:12:16.699,impression,29.633333333333333,-95.4,2019-12-29 18:12:16.000,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10009
2019-12-29 18:12:16.699,impression,29.633333333333333,-95.4,2019-12-29 18:12:16.000,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10009
2019-12-29 18:13:24.290,impression,29.627521941465908,-95.40608857767228,2019-12-29 18:13:23.999,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-29 18:13:29.645,impression,29.627521941465908,-95.40608857767228,2019-12-29 18:13:28.999,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-18 23:59:18.989,impression,29.633333333333333,-95.4,2019-12-18 23:59:18.998,ios,12.4.2,"iPhone7,1",en_US,"",US,1.218.10008
2019-12-18 23:59:19.172,impression,29.633333333333333,-95.4,2019-12-18 23:59:18.998,ios,12.4.2,"iPhone7,1",en_US,"",US,1.218.10008
